open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,source
2021-12-31 01:00:00,3700.61,3740.12,3684.04,3726.29,8718.7759,2021-12-31 01:59:59.999,32408069.19549,23336.0,4521.9903,16809512.642644,binance
2021-12-31 02:00:00,3726.29,3726.8,3704.29,3716.88,6650.4058,2021-12-31 02:59:59.999,24697473.5282,17704.0,3215.6836,11941802.436749,binance
2021-12-31 03:00:00,3716.88,3747.44,3710.01,3742.78,7830.2907,2021-12-31 03:59:59.999,29207861.02425,18585.0,3372.9875,12579819.609543,binance
2021-12-31 04:00:00,3742.77,3761.5,3737.0,3745.92,8685.194,2021-12-31 04:59:59.999,32572766.948349,20381.0,4036.1516,15137207.957612,binance
2021-12-31 05:00:00,3745.91,3753.25,3737.0,3739.99,4910.5455,2021-12-31 05:59:59.999,18388856.032251,14113.0,2352.8813,8811291.116503,binance
2021-12-31 06:00:00,3740.18,3747.89,3725.49,3738.9,6345.7148,2021-12-31 06:59:59.999,23711301.809468,16497.0,3444.0942,12869819.624803,binance
2021-12-31 07:00:00,3738.46,3748.34,3687.0,3721.88,11817.6224,2021-12-31 07:59:59.999,43860229.580839,26241.0,6294.9974,23360690.322941,binance
2021-12-31 08:00:00,3721.88,3815.0,3714.0,3799.76,32029.479199999998,2021-12-31 08:59:59.999,121009290.139642,64445.0,17861.8347,67488316.467391,binance
2021-12-31 09:00:00,3799.76,3812.84,3785.81,3795.49,14369.4043,2021-12-31 09:59:59.999,54560908.890013,28608.0,5945.665,22581979.289588,binance
2021-12-31 10:00:00,3795.49,3805.09,3763.0,3773.77,12854.9588,2021-12-31 10:59:59.999,48717322.580397,27415.0,6293.7414,23864569.524581,binance
2021-12-31 11:00:00,3773.76,3789.02,3769.0,3780.92,10002.4467,2021-12-31 11:59:59.999,37826540.927006,20736.0,4480.9243,16946754.747193,binance
2021-12-31 12:00:00,3780.92,3800.0,3775.94,3793.71,8118.2451,2021-12-31 12:59:59.999,30757245.281151,20684.0,4436.0579,16808144.694043,binance
2021-12-31 13:00:00,3793.7,3799.39,3785.0,3791.69,7109.4123,2021-12-31 13:59:59.999,26960777.111451,15416.0,3386.6928,12843599.365281,binance
